template_id,current_ctr,recommendations,priority
TPL_0469,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0470,,Template is well-optimized,LOW
TPL_0471,0.071,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0472,,Template is well-optimized,LOW
TPL_0473,,Template is well-optimized,LOW
TPL_0474,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0475,,Template is well-optimized,LOW
TPL_0476,0.138,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0477,,Template is well-optimized,LOW
TPL_0478,,Template is well-optimized,LOW
TPL_0479,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0480,,Template is well-optimized,LOW
TPL_0481,0.22,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0482,,Template is well-optimized,LOW
TPL_0483,,Template is well-optimized,LOW
TPL_0484,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0485,,Template is well-optimized,LOW
TPL_0486,0.1,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0487,,Template is well-optimized,LOW
TPL_0488,,Template is well-optimized,LOW
TPL_0489,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0490,,Template is well-optimized,LOW
TPL_0491,0.076,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0492,,Template is well-optimized,LOW
TPL_0493,,Template is well-optimized,LOW
TPL_0494,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0495,,Template is well-optimized,LOW
TPL_0496,0.113,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0497,,Template is well-optimized,LOW
TPL_0498,,Template is well-optimized,LOW
TPL_0499,,"Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0500,,Template is well-optimized,LOW
TPL_0501,0.19,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0502,,Template is well-optimized,LOW
TPL_0503,,Template is well-optimized,LOW
TPL_0504,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0505,,Template is well-optimized,LOW
TPL_0506,0.085,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0507,,Template is well-optimized,LOW
TPL_0508,,Template is well-optimized,LOW
TPL_0509,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0510,,Template is well-optimized,LOW
TPL_0511,0.02,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0512,,Template is well-optimized,LOW
TPL_0513,,Template is well-optimized,LOW
TPL_0514,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0515,,Template is well-optimized,LOW
TPL_0516,0.248,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0517,,Template is well-optimized,LOW
TPL_0518,,Template is well-optimized,LOW
TPL_0519,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0520,,Template is well-optimized,LOW
TPL_0521,0.14,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0522,,Template is well-optimized,LOW
TPL_0523,,Template is well-optimized,LOW
TPL_0524,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0525,,Template is well-optimized,LOW
TPL_0526,0.18,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0527,,Template is well-optimized,LOW
TPL_0528,,Template is well-optimized,LOW
TPL_0529,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0530,,Template is well-optimized,LOW
TPL_0531,0.24,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0532,,Template is well-optimized,LOW
TPL_0533,,Template is well-optimized,LOW
TPL_0534,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0535,,Template is well-optimized,LOW
TPL_0536,0.083,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0537,,Template is well-optimized,LOW
TPL_0538,,Template is well-optimized,LOW
TPL_0539,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0540,,Template is well-optimized,LOW
TPL_0541,0.1537,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0542,,Template is well-optimized,LOW
TPL_0543,,Template is well-optimized,LOW
TPL_0544,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0545,,Template is well-optimized,LOW
TPL_0546,0.08,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0547,,Template is well-optimized,LOW
TPL_0548,,Template is well-optimized,LOW
TPL_0549,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0550,,Template is well-optimized,LOW
TPL_0551,0.229,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0552,,Template is well-optimized,LOW
TPL_0553,,Template is well-optimized,LOW
TPL_0554,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0555,,Template is well-optimized,LOW
TPL_0556,0.115,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0557,,Template is well-optimized,LOW
TPL_0558,,Template is well-optimized,LOW
TPL_0559,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0560,,Template is well-optimized,LOW
TPL_0561,0.026,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0562,,Template is well-optimized,LOW
TPL_0563,,Template is well-optimized,LOW
TPL_0564,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0565,,Template is well-optimized,LOW
TPL_0566,0.156,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0567,,Template is well-optimized,LOW
TPL_0568,,Template is well-optimized,LOW
TPL_0569,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0570,,Template is well-optimized,LOW
TPL_0571,0.21,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0572,,Template is well-optimized,LOW
TPL_0573,,Template is well-optimized,LOW
TPL_0574,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0575,,Template is well-optimized,LOW
TPL_0576,0.032,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0577,,Template is well-optimized,LOW
TPL_0578,,Template is well-optimized,LOW
TPL_0579,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0580,,Template is well-optimized,LOW
TPL_0581,0.146,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0582,,Template is well-optimized,LOW
TPL_0583,,Template is well-optimized,LOW
TPL_0584,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0585,,Template is well-optimized,LOW
TPL_0586,0.076,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0587,,Template is well-optimized,LOW
TPL_0588,,Template is well-optimized,LOW
TPL_0589,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0590,,Template is well-optimized,LOW
TPL_0591,0.159,"Add engagement keywords (streak, coins, etc.)",LOW
TPL_0592,,Template is well-optimized,LOW
TPL_0593,,Template is well-optimized,LOW
TPL_0594,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.); Add personalization (your, you)",LOW
TPL_0595,,Template is well-optimized,LOW
TPL_0596,0.0813,"Add engagement keywords (streak, coins, etc.)",HIGH
TPL_0597,,Template is well-optimized,LOW
TPL_0598,,Template is well-optimized,LOW
TPL_0599,,"Increase positive sentiment; Add engagement keywords (streak, coins, etc.)",LOW
TPL_0600,,Template is well-optimized,LOW
